"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Justin Jefferson",MIN,"15.2","0.0","0.0","6.4","97.4","0.4","0.0","0.0","0.0"
"2",1,"Christian McCaffrey",SF,"23.2","0.0","0.0","4.1","36.4","0.5","17.4","92.3","0.9"
"3",1,"Ja'Marr Chase",CIN,"14.5","0.0","0.0","6.6","82.6","0.5","0.2","-0.4","0.0"
"4",1,"Austin Ekeler",LAC,"12.3","0.0","0.0","3.6","32.8","0.1","13.0","47.6","0.4"
"5",1,"Tyreek Hill",MIA,"21.1","0.0","0.0","7.5","118.6","0.9","0.4","1.2","0.0"
"6",2,"Bijan Robinson",ATL,"12.1","0.0","0.0","2.9","23.1","0.2","12.6","57.2","0.3"
"7",2,"Nick Chubb",CLE,"10.6","0.0","0.0","2.0","10.5","0.0","14.0","85.0","0.0"
"8",2,"Saquon Barkley",NYG,"14.1","0.0","0.0","3.0","18.7","0.4","17.6","72.5","0.3"
"9",2,"Stefon Diggs",BUF,"13.5","0.0","0.0","6.4","71.3","0.5","0.0","0.0","0.0"
"10",2,"Tony Pollard",DAL,"12.1","0.0","0.0","3.6","20.7","0.0","14.8","60.6","0.4"
"11",2,"CeeDee Lamb",DAL,"17.9","0.0","0.0","7.4","93.3","0.6","0.7","6.2","0.1"
"12",2,"Travis Kelce",KC,"12.5","0.0","0.0","6.5","71.1","0.4","0.0","0.0","0.0"
"13",2,"A.J. Brown",PHI,"15.6","0.0","0.0","6.8","93.9","0.5","0.0","0.0","0.0"
"14",2,"Amon-Ra St. Brown",DET,"15.8","0.0","0.0","7.2","90.4","0.5","0.2","1.0","0.0"
"15",2,"Davante Adams",LV,"12.1","0.0","0.0","6.0","69.1","0.4","0.0","0.0","0.0"
"16",2,"Derrick Henry",TEN,"13.3","0.0","0.0","1.9","14.5","0.0","16.4","63.1","0.7"
"17",3,"Garrett Wilson",NYJ,"10.2","0.0","0.0","5.6","63.0","0.2","0.1","0.6","0.0"
"18",3,"Josh Jacobs",LV,"12.5","0.0","0.0","2.8","22.8","0.0","17.9","61.9","0.5"
"19",3,"Jaylen Waddle",MIA,"12.1","0.0","0.0","5.5","74.2","0.3","0.2","0.8","0.0"
"20",3,"Chris Olave",NO,"12.2","0.0","0.0","5.8","74.4","0.3","0.0","0.0","0.0"
"21",3,"Rhamondre Stevenson",NE,"10.6","0.0","0.0","3.2","19.8","0.0","13.0","51.6","0.3"
"22",3,"Joe Mixon",CIN,"13.3","0.0","0.0","3.1","23.2","0.1","14.8","57.2","0.5"
"23",4,"DeVonta Smith",PHI,"11.9","0.0","0.0","5.3","68.4","0.4","0.0","0.0","0.0"
"24",4,"Tee Higgins",CIN,"10.4","0.0","0.0","3.7","57.9","0.5","0.0","0.0","0.0"
"25",4,"Patrick Mahomes II",KC,"18.9","264.5","1.8","0.0","0.0","0.0","4.4","23.9","0.0"
"26",4,"Josh Allen",BUF,"24.2","251.9","1.8","0.0","0.0","0.0","5.7","27.5","0.9"
"27",4,"Jalen Hurts",PHI,"23.3","238.2","1.4","0.0","0.0","0.0","9.9","38.7","1.0"
"28",4,"Mark Andrews",BAL,"11.3","0.0","0.0","4.5","54.4","0.6","0.1","0.0","0.0"
"29",4,"Najee Harris",PIT,"9.0","0.0","0.0","1.6","9.9","0.0","13.5","53.4","0.3"
"30",4,"Jahmyr Gibbs",DET,"15.0","0.0","0.0","3.9","24.7","0.1","11.6","66.0","0.6"
"31",4,"Cooper Kupp",LAR,"11.3","0.0","0.0","5.0","64.5","0.4","0.1","-0.3","0.0"
"32",4,"Travis Etienne Jr.",JAC,"15.2","0.0","0.0","3.4","29.4","0.1","16.4","59.8","0.6"
"33",4,"DK Metcalf",SEA,"12.6","0.0","0.0","4.3","72.5","0.5","0.0","0.0","0.0"
"34",4,"Calvin Ridley",JAC,"10.3","0.0","0.0","4.3","55.8","0.4","0.6","2.5","0.0"
"35",4,"Keenan Allen",LAC,"17.3","0.0","0.0","8.3","95.6","0.5","0.2","0.5","0.0"
"36",4,"Aaron Jones",GB,"9.5","0.0","0.0","2.9","23.1","0.1","9.9","37.3","0.3"
"37",4,"Amari Cooper",CLE,"10.4","0.0","0.0","4.4","70.4","0.2","0.0","0.0","0.0"
"38",5,"Deebo Samuel",SF,"15.5","0.0","0.0","4.1","65.6","0.5","2.6","14.3","0.4"
"39",5,"Lamar Jackson",BAL,"19.9","221.8","1.2","0.0","0.0","0.0","9.6","52.9","0.4"
"40",5,"Kenneth Walker III",SEA,"12.9","0.0","0.0","2.0","19.3","0.1","14.7","60.0","0.6"
"41",5,"DJ Moore",CHI,"14.3","0.0","0.0","5.7","80.2","0.5","0.3","1.5","0.1"
"42",5,"Dameon Pierce",HOU,"6.0","0.0","0.0","1.0","7.8","0.0","12.2","35.8","0.2"
"43",5,"Breece Hall",NYJ,"11.7","0.0","0.0","3.8","31.5","0.2","10.9","45.5","0.1"
"44",5,"Joe Burrow",CIN,"15.3","230.9","1.5","0.0","0.0","0.0","3.1","8.8","0.0"
"45",5,"Alexander Mattison",MIN,"8.5","0.0","0.0","2.1","13.4","0.2","12.9","50.8","0.0"
"46",5,"DeAndre Hopkins",TEN,"11.3","0.0","0.0","4.2","65.6","0.4","0.1","0.6","0.0"
