"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Jefferson",MIN,"WR1","13","4.0","0","+1.4","56% (9/16)"
"2",1,"Christian McCaffrey",SF,"RB1","9","6.8","0","+1.1","50% (8/16)"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","5.6","0","-1.2","33% (4/12)"
"4",1,"Austin Ekeler",LAC,"RB2","5","4.4","0","+0.4","47% (8/17)"
"5",1,"Tyreek Hill",MIA,"WR3","10","4.2","0","+1.0","50% (8/16)"
"6",2,"Bijan Robinson",ATL,"RB3","11","5.2","+1","-","-"
"7",2,"Nick Chubb",CLE,"RB4","5","3.2","+1","+0.4","50% (8/16)"
"8",2,"Saquon Barkley",NYG,"RB5","13","3.0","+1","-1.1","37% (6/16)"
"9",2,"Stefon Diggs",BUF,"WR4","13","1.0","+1","-0.9","43% (7/16)"
"10",2,"Tony Pollard",DAL,"RB6","7","4.4","+3","+3.2","60% (9/15)"
"11",2,"CeeDee Lamb",DAL,"WR5","7","2.8","0","+0.7","50% (8/16)"
"12",2,"Travis Kelce",KC,"TE1","10","7.8","-6","-0.2","47% (8/17)"
"13",2,"A.J. Brown",PHI,"WR6","10","5.0","-1","+0.6","50% (8/16)"
"14",2,"Amon-Ra St. Brown",DET,"WR7","9","4.4","+6","-0.4","33% (5/15)"
"15",2,"Davante Adams",LV,"WR8","13","1.8","+3","+0.5","43% (7/16)"
"16",2,"Derrick Henry",TEN,"RB7","7","7.4","0","+1.3","53% (8/15)"
"17",3,"Garrett Wilson",NYJ,"WR9","7","3.6","+2","-0.4","31% (5/16)"
"18",3,"Josh Jacobs",LV,"RB8","13","4.4","-1","+2.8","56% (9/16)"
"19",3,"Jaylen Waddle",MIA,"WR10","10","4.4","+4","+0.3","50% (8/16)"
"20",3,"Chris Olave",NO,"WR11","11","9.0","+4","-0.5","35% (5/14)"
"21",3,"Rhamondre Stevenson",NE,"RB9","11","2.8","+8","-0.9","50% (8/16)"
"22",3,"Joe Mixon",CIN,"RB10","7","5.0","+9","-1.4","35% (5/14)"
"23",4,"DeVonta Smith",PHI,"WR12","10","5.2","+3","+1.7","62% (10/16)"
"24",4,"Tee Higgins",CIN,"WR13","7","6.0","+6","-1.3","37% (6/16)"
"25",4,"Patrick Mahomes II",KC,"QB1","10","5.0","-11","+1.4","64% (11/17)"
"26",4,"Josh Allen",BUF,"QB2","13","4.2","-5","-0.4","43% (7/16)"
"27",4,"Jalen Hurts",PHI,"QB3","10","4.0","-5","+3.2","71% (10/14)"
"28",4,"Mark Andrews",BAL,"TE2","13","6.0","0","-2.7","33% (5/15)"
"29",4,"Najee Harris",PIT,"RB11","6","5.6","-4","0.0","43% (7/16)"
"30",4,"Jahmyr Gibbs",DET,"RB12","9","8.8","+2","-","-"
"31",4,"Cooper Kupp",LAR,"WR14","10","4.4","-16","0.0","66% (6/9)"
"32",4,"Travis Etienne Jr.",JAC,"RB13","9","2.8","-5","-0.8","56% (9/16)"
"33",4,"DK Metcalf",SEA,"WR15","5","6.8","+2","-1.9","43% (7/16)"
"34",4,"Calvin Ridley",JAC,"WR16","9","8.6","-1","-","-"
"35",4,"Keenan Allen",LAC,"WR17","5","4.6","+8","-2.0","50% (5/10)"
"36",4,"Aaron Jones",GB,"RB14","6","7.2","+1","-0.8","43% (7/16)"
"37",4,"Amari Cooper",CLE,"WR18","5","5.6","+2","+0.5","43% (7/16)"
"38",5,"Deebo Samuel",SF,"WR19","9","6.8","0","-2.8","25% (3/12)"
"39",5,"Lamar Jackson",BAL,"QB4","13","5.0","-5","-2.5","25% (3/12)"
"40",5,"Kenneth Walker III",SEA,"RB15","5","3.6","+1","+1.1","42% (6/14)"
"41",5,"DJ Moore",CHI,"WR20","13","4.4","+10","-1.0","37% (6/16)"
"42",5,"Dameon Pierce",HOU,"RB16","7","4.0","-2","-1.3","38% (5/13)"
"43",5,"Breece Hall",NYJ,"RB17","7","4.6","-1","+4.9","83% (5/6)"
"44",5,"Joe Burrow",CIN,"QB5","7","4.6","-8","+2.9","56% (9/16)"
"45",5,"Alexander Mattison",MIN,"RB18","13","8.0","+7","-0.3","37% (6/16)"
"46",5,"DeAndre Hopkins",TEN,"WR21","7","5.6","+9","-0.9","33% (3/9)"
"47",5,"Miles Sanders",CAR,"RB19","7","5.6","+2","+0.7","43% (7/16)"
"48",5,"J.K. Dobbins",BAL,"RB20","13","5.0","0","-0.2","37% (3/8)"
"49",5,"Christian Watson",GB,"WR22","6","5.2","+11","+2.6","46% (6/13)"
"50",5,"Justin Herbert",LAC,"QB6","5","4.8","-6","-3.7","35% (6/17)"
"51",5,"Justin Fields",CHI,"QB7","13","7.8","-5","+2.8","66% (10/15)"
"52",5,"Drake London",ATL,"WR23","11","5.2","+6","-1.2","43% (7/16)"
"53",5,"T.J. Hockenson",MIN,"TE3","13","4.8","-8","+0.6","37% (6/16)"
