"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","1","10","1.7","1.5","0"
"2",1,"Christian McCaffrey",SF,"RB1","1","11","2.8","1.8","0"
"3",1,"Ja'Marr Chase",CIN,"WR2","1","11","3.5","2.1","0"
"4",1,"Austin Ekeler",LAC,"RB2","1","21","5.6","3.4","0"
"5",1,"Tyreek Hill",MIA,"WR3","1","18","6.1","2.6","0"
"6",2,"Bijan Robinson",ATL,"RB3","2","26","8.0","3.8","+1"
"7",2,"Nick Chubb",CLE,"RB4","1","23","8.5","4.2","+1"
"8",2,"Saquon Barkley",NYG,"RB5","2","20","9.9","3.8","+1"
"9",2,"Stefon Diggs",BUF,"WR4","4","21","10.0","3.2","+1"
"10",2,"Tony Pollard",DAL,"RB6","2","31","12.2","4.6","+3"
"11",2,"CeeDee Lamb",DAL,"WR5","4","30","12.6","3.6","0"
"12",2,"Travis Kelce",KC,"TE1","2","67","11.1","11.6","-6"
"13",2,"A.J. Brown",PHI,"WR6","6","37","13.9","4.4","-1"
"14",2,"Amon-Ra St. Brown",DET,"WR7","5","34","14.3","4.4","+6"
"15",2,"Davante Adams",LV,"WR8","6","31","15.5","4.1","+3"
"16",2,"Derrick Henry",TEN,"RB7","4","34","15.5","4.9","0"
"17",3,"Garrett Wilson",NYJ,"WR9","3","47","16.5","4.9","+2"
"18",3,"Josh Jacobs",LV,"RB8","5","41","17.5","6.0","-1"
"19",3,"Jaylen Waddle",MIA,"WR10","9","40","21.0","4.4","+4"
"20",3,"Chris Olave",NO,"WR11","14","66","24.0","6.7","+4"
"21",3,"Rhamondre Stevenson",NE,"RB9","9","61","26.4","8.6","+8"
"22",3,"Joe Mixon",CIN,"RB10","12","73","27.2","11.3","+9"
"23",4,"DeVonta Smith",PHI,"WR12","18","78","28.1","7.6","+3"
"24",4,"Tee Higgins",CIN,"WR13","18","59","28.9","6.2","+6"
"25",4,"Patrick Mahomes II",KC,"QB1","16","50","29.0","6.7","-11"
"26",4,"Josh Allen",BUF,"QB2","13","50","29.5","6.7","-5"
"27",4,"Jalen Hurts",PHI,"QB3","16","75","29.8","8.4","-5"
"28",4,"Mark Andrews",BAL,"TE2","5","72","30.6","11.8","0"
"29",4,"Najee Harris",PIT,"RB11","12","81","31.3","11.4","-4"
"30",4,"Jahmyr Gibbs",DET,"RB12","8","73","32.0","10.9","+2"
"31",4,"Cooper Kupp",LAR,"WR14","3","97","32.8","18.7","-16"
"32",4,"Travis Etienne Jr.",JAC,"RB13","13","69","32.9","10.3","-5"
"33",4,"DK Metcalf",SEA,"WR15","18","63","33.2","7.5","+2"
"34",4,"Calvin Ridley",JAC,"WR16","13","66","33.6","11.1","-1"
"35",4,"Keenan Allen",LAC,"WR17","16","73","35.8","8.5","+8"
"36",4,"Aaron Jones",GB,"RB14","16","78","36.6","12.1","+1"
"37",4,"Amari Cooper",CLE,"WR18","17","69","37.0","8.3","+2"
"38",5,"Deebo Samuel",SF,"WR19","13","80","42.2","12.0","0"
"39",5,"Lamar Jackson",BAL,"QB4","22","119","42.6","13.9","-5"
"40",5,"Kenneth Walker III",SEA,"RB15","13","84","44.9","12.2","+1"
"41",5,"DJ Moore",CHI,"WR20","22","71","46.0","9.4","+10"
"42",5,"Dameon Pierce",HOU,"RB16","18","90","46.3","14.7","-2"
"43",5,"Breece Hall",NYJ,"RB17","12","97","46.3","15.1","-1"
"44",5,"Joe Burrow",CIN,"QB5","24","76","48.7","11.1","-8"
"45",5,"Alexander Mattison",MIN,"RB18","14","134","50.0","16.9","+7"
"46",5,"DeAndre Hopkins",TEN,"WR21","17","90","50.8","10.9","+9"
"47",5,"Miles Sanders",CAR,"RB19","23","97","51.3","13.6","+2"
"48",5,"J.K. Dobbins",BAL,"RB20","16","94","51.4","15.2","0"
"49",5,"Christian Watson",GB,"WR22","21","99","51.6","12.3","+11"
"50",5,"Justin Herbert",LAC,"QB6","27","88","52.6","13.9","-6"
"51",5,"Drake London",ATL,"WR23","30","98","52.8","10.2","+7"
"52",5,"Justin Fields",CHI,"QB7","21","99","52.9","15.0","-6"
"53",5,"T.J. Hockenson",MIN,"TE3","5","102","53.0","15.7","-8"
"54",5,"Tyler Lockett",SEA,"WR24","31","98","56.2","10.9","+7"
"55",5,"Brandon Aiyuk",SF,"WR25","32","102","56.3","11.4","+10"
"56",5,"Cam Akers",MIN,"RB21","21","127","56.9","14.4","+1"
"57",5,"Darren Waller",NYG,"TE4","7","101","57.1","16.4","-4"
"58",5,"Chris Godwin",TB,"WR26","31","96","57.3","10.1","+9"
"59",5,"Terry McLaurin",WAS,"WR27","31","98","57.4","11.0","-3"
"60",5,"Mike Williams",LAC,"WR28","29","100","57.5","12.4","+9"
"61",5,"Diontae Johnson",PIT,"WR29","29","103","58.7","12.3","+14"
"62",6,"James Conner",ARI,"RB22","16","93","61.4","14.3","-3"
"63",6,"Rachaad White",TB,"RB23","30","94","63.9","13.2","+7"
"64",6,"James Cook",BUF,"RB24","29","118","64.5","14.8","-2"
"65",6,"Christian Kirk",JAC,"WR30","32","107","65.6","13.6","+9"
