"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Justin Jefferson",MIN,"168.2","0","0","68","1074","5","1","-12","0"
"2",1,"Christian McCaffrey",SF,"357.8","0","0","67","564","7","272","1459","14"
"3",1,"Ja'Marr Chase",CIN,"212.7","0","0","100","1216","7","3","-6","0"
"4",1,"Austin Ekeler",LAC,"159.9","0","0","51","436","1","179","628","5"
"5",1,"Tyreek Hill",MIA,"316.9","0","0","119","1799","13","6","15","0"
"6",2,"Bijan Robinson",ATL,"217.3","0","0","58","487","4","214","976","4"
"7",2,"Nick Chubb",CLE,"21.1","0","0","4","21","0","28","170","0"
"8",2,"Saquon Barkley",NYG,"202.7","0","0","41","280","4","247","962","6"
"9",2,"Stefon Diggs",BUF,"220.3","0","0","107","1183","8","1","5","0"
"10",2,"Tony Pollard",DAL,"195.1","0","0","55","311","0","252","1005","6"
"11",2,"CeeDee Lamb",DAL,"335.7","0","0","135","1749","12","14","113","2"
"12",2,"Travis Kelce",KC,"172.9","0","0","93","984","5","0","0","0"
"13",2,"A.J. Brown",PHI,"236.6","0","0","106","1456","7","0","0","0"
"14",2,"Amon-Ra St. Brown",DET,"271.4","0","0","119","1515","10","4","24","0"
"15",2,"Davante Adams",LV,"213.9","0","0","103","1144","8","0","0","0"
"16",2,"Derrick Henry",TEN,"232.7","0","0","28","214","0","280","1167","12"
"17",3,"Garrett Wilson",NYJ,"165.7","0","0","95","1042","3","4","0","0"
"18",3,"Josh Jacobs",LV,"162.6","0","0","37","296","0","233","805","6"
"19",3,"Jaylen Waddle",MIA,"162.6","0","0","72","1014","4","3","12","0"
"20",3,"Chris Olave",NO,"187.8","0","0","87","1123","5","0","0","0"
"21",3,"Rhamondre Stevenson",NE,"126.7","0","0","38","238","0","156","619","4"
"22",3,"Joe Mixon",CIN,"241","0","0","52","376","3","257","1034","9"
"23",4,"DeVonta Smith",PHI,"187.1","0","0","81","1066","7","0","0","0"
"24",4,"Tee Higgins",CIN,"116.6","0","0","42","656","5","0","0","0"
"25",4,"Patrick Mahomes II",KC,"294.2","4183","27","0","0","0","75","389","0"
"26",4,"Josh Allen",BUF,"410.6","4306","29","0","0","0","111","524","15"
"27",4,"Jalen Hurts",PHI,"371.8","3858","23","0","0","0","157","605","15"
"28",4,"Mark Andrews",BAL,"112.9","0","0","45","544","6","1","0","0"
"29",4,"Najee Harris",PIT,"181","0","0","29","170","0","255","1035","8"
"30",4,"Jahmyr Gibbs",DET,"216.1","0","0","52","316","1","182","945","10"
"31",4,"Cooper Kupp",LAR,"134.9","0","0","59","737","5","1","-3","0"
"32",4,"Travis Etienne Jr.",JAC,"253.4","0","0","58","476","1","267","1008","11"
"33",4,"DK Metcalf",SEA,"192.4","0","0","66","1114","8","0","0","0"
"34",4,"Calvin Ridley",JAC,"191.9","0","0","76","1016","8","9","23","0"
"35",4,"Keenan Allen",LAC,"224.9","0","0","108","1243","7","2","6","0"
"36",4,"Aaron Jones",GB,"119.9","0","0","30","233","1","142","656","2"
"37",4,"Amari Cooper",CLE,"191","0","0","72","1250","5","0","0","0"
"38",5,"Deebo Samuel",SF,"213.7","0","0","60","892","7","37","225","5"
"39",5,"Lamar Jackson",BAL,"338.2","3678","24","0","0","0","148","821","5"
"40",5,"Kenneth Walker III",SEA,"184.9","0","0","29","259","1","219","905","8"
"41",5,"DJ Moore",CHI,"238.5","0","0","96","1364","8","4","21","1"
"42",5,"Dameon Pierce",HOU,"76.2","0","0","13","101","0","145","416","2"
"43",5,"Breece Hall",NYJ,"252.5","0","0","76","591","4","223","994","5"
"44",5,"Joe Burrow",CIN,"153.2","2309","15","0","0","0","31","88","0"
"45",5,"Alexander Mattison",MIN,"118.2","0","0","30","192","3","180","700","0"
"46",5,"DeAndre Hopkins",TEN,"186.1","0","0","75","1057","7","2","9","0"
"47",5,"Miles Sanders",CAR,"74.1","0","0","27","154","0","129","432","1"
"48",5,"J.K. Dobbins",BAL,"10.7","0","0","2","15","0","8","22","1"
"49",5,"Christian Watson",GB,"87.3","0","0","28","422","5","4","11","0"
"50",5,"Justin Herbert",LAC,"240.7","3134","20","0","0","0","52","228","3"
"51",5,"Drake London",ATL,"139.9","0","0","69","905","2","0","0","0"
"52",5,"Justin Fields",CHI,"239.2","2562","16","0","0","0","124","657","4"
"53",5,"T.J. Hockenson",MIN,"171.5","0","0","95","960","5","0","0","0"
"54",5,"Tyler Lockett",SEA,"162.9","0","0","79","894","5","0","0","0"
"55",5,"Brandon Aiyuk",SF,"211.7","0","0","75","1342","7","0","0","0"
"56",5,"Cam Akers",MIN,"41.2","0","0","11","70","0","60","167","2"
"57",5,"Darren Waller",NYG,"87.2","0","0","52","552","1","0","0","0"
"58",5,"Chris Godwin",TB,"167.7","0","0","83","1024","2","4","38","1"
"59",5,"Terry McLaurin",WAS,"163.7","0","0","79","1002","4","0","0","0"
"60",5,"Mike Williams",LAC,"40.7","0","0","19","249","1","1","3","0"
"61",5,"Diontae Johnson",PIT,"127.2","0","0","51","717","5","0","0","0"
"62",6,"James Conner",ARI,"188","0","0","27","165","2","208","1040","7"
"63",6,"Rachaad White",TB,"235.9","0","0","64","549","3","272","990","6"
"64",6,"James Cook",BUF,"210.7","0","0","44","445","4","237","1122","2"
"65",6,"Christian Kirk",JAC,"121.8","0","0","57","787","3","1","6","0"
"66",6,"Trevor Lawrence",JAC,"276.5","4016","21","0","0","0","70","339","4"
"67",6,"Javonte Williams",DEN,"155.7","0","0","47","228","2","217","774","3"
"68",6,"David Montgomery",DET,"199.2","0","0","16","117","0","219","1015","13"
"69",6,"Mike Evans",TB,"243","0","0","79","1255","13","0","0","0"
"70",6,"George Kittle",SF,"170.7","0","0","65","1020","6","1","2","0"
"71",6,"Alvin Kamara",NO,"195.5","0","0","75","466","1","180","694","5"
"72",6,"Jahan Dotson",WAS,"100.3","0","0","49","518","4","0","0","0"
"73",6,"Jonathan Taylor",IND,"146.9","0","0","19","153","1","169","741","7"
"74",6,"Dallas Goedert",PHI,"106.8","0","0","59","592","3","1","1","0"
"75",6,"Michael Pittman Jr.",IND,"195.7","0","0","109","1152","4","0","0","0"
"76",6,"Isiah Pacheco",KC,"191.9","0","0","44","244","2","205","935","7"
"77",6,"George Pickens",PIT,"177.3","0","0","63","1140","5","3","18","0"
"78",6,"Jerry Jeudy",DEN,"114.8","0","0","54","758","2","0","0","0"
"79",6,"Marquise Brown",ARI,"109.2","0","0","51","574","4","2","23","0"
"80",6,"Kyle Pitts",ATL,"110.8","0","0","53","667","3","1","-4","0"
"81",6,"D'Andre Swift",PHI,"179.8","0","0","39","214","1","229","1049","5"
"82",6,"Dalvin Cook",BAL,"32.7","0","0","15","78","0","67","214","0"
"83",7,"Jordan Addison",MIN,"186.3","0","0","70","911","10","1","2","0"
"84",7,"Gabe Davis",BUF,"138.9","0","0","45","746","7","1","-2","0"
"85",7,"Khalil Herbert",CHI,"102.5","0","0","20","134","1","132","611","2"
"86",7,"Courtland Sutton",DEN,"160.7","0","0","59","772","10","0","0","0"
"87",7,"Jaxon Smith-Njigba",SEA,"118.3","0","0","63","628","4","0","0","0"
"88",7,"Brandin Cooks",DAL,"146.2","0","0","54","657","8","5","35","0"
"89",7,"Brian Robinson Jr.",WAS,"180.1","0","0","36","368","4","178","733","5"
"90",7,"Antonio Gibson",WAS,"103.4","0","0","48","389","2","65","265","1"
