RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASS YDS,PASS TDS,REC,REC YDS,REC TDS,ATT,RUSH YDS,RUSH TDS
"1",1,"Justin Jefferson",MIN,"17.9","0.0","0.0","7.5","106.4","0.5","0.2","1.4","0.1"
"2",1,"Christian McCaffrey",SF,"18.5","0.0","0.0","5.0","43.6","0.3","14.4","67.0","0.5"
"3",1,"Ja'Marr Chase",CIN,"15.3","0.0","0.0","6.7","80.5","0.7","0.4","0.6","0.0"
"4",1,"Austin Ekeler",LAC,"18.8","0.0","0.0","6.3","42.5","0.3","12.0","53.8","0.8"
"5",2,"Travis Kelce",KC,"15.4","0.0","0.0","6.5","78.7","0.7","0.1","0.3","0.0"
"6",2,"Tyreek Hill",MIA,"16.6","0.0","0.0","7.0","100.6","0.4","0.4","1.9","0.1"
"7",2,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0","0"
"8",2,"Cooper Kupp",LAR,"18.2","0.0","0.0","8.3","90.2","0.7","1.0","5.8","0.1"
"9",2,"Nick Chubb",CLE,"15.8","0.0","0.0","1.6","14.1","0.1","17.8","89.7","0.7"
"10",2,"Saquon Barkley",NYG,"16.0","0.0","0.0","3.6","21.1","0.0","18.4","82.0","0.6"
"11",2,"Stefon Diggs",BUF,"15.7","0.0","0.0","6.5","85.6","0.6","0.1","-0.2","0.0"
"12",2,"Tony Pollard",DAL,"14.3","0.0","0.0","2.4","23.2","0.2","12.1","62.9","0.6"
"13",2,"Derrick Henry",TEN,"17.9","0.0","0.0","2.1","24.9","0.0","21.8","96.1","0.8"
"14",2,"CeeDee Lamb",DAL,"14.6","0.0","0.0","6.3","79.9","0.5","0.6","2.8","0.0"
"15",3,"A.J. Brown",PHI,"15.0","0.0","0.0","5.2","88.0","0.6","0.0","0.0","0.0"
"16",3,"Davante Adams",LV,"16.8","0.0","0.0","5.9","89.2","0.8","0.2","-0.1","0.0"
"17",3,"Amon-Ra St. Brown",DET,"13.4","0.0","0.0","6.6","72.6","0.4","0.6","5.9","0.0"
"18",3,"Jonathan Taylor",IND,"11.0","0.0","0.0","2.3","11.9","0.0","16.0","71.8","0.3"
"19",3,"Garrett Wilson",NYJ,"10.2","0.0","0.0","4.9","64.9","0.2","0.2","0.2","0.0"
"20",3,"Josh Jacobs",LV,"17.8","0.0","0.0","3.1","23.5","0.0","20.0","97.2","0.7"
"21",3,"Jaylen Waddle",MIA,"13.0","0.0","0.0","4.4","79.8","0.5","0.2","1.5","0.0"
"22",3,"Chris Olave",NO,"10.8","0.0","0.0","4.8","69.5","0.3","0.0","0.0","0.0"
"23",4,"Rhamondre Stevenson",NE,"12.6","0.0","0.0","4.1","24.8","0.1","12.4","61.2","0.3"
"24",4,"Najee Harris",PIT,"11.9","0.0","0.0","2.4","13.5","0.2","16.0","60.8","0.4"
"25",4,"Joe Mixon",CIN,"14.0","0.0","0.0","4.0","29.4","0.1","14.1","55.1","0.5"
"26",4,"Patrick Mahomes II",KC,"25.2","308.8","2.4","0.0","0.0","0.0","3.6","21.1","0.2"
"27",4,"DeVonta Smith",PHI,"12.2","0.0","0.0","5.6","70.4","0.4","0.0","0.0","0.0"
"28",4,"Tee Higgins",CIN,"12.4","0.0","0.0","5.0","69.5","0.5","0.0","0.0","0.0"
"29",4,"Mark Andrews",BAL,"10.3","0.0","0.0","4.9","56.5","0.3","0.2","0.5","0.0"
"30",4,"Josh Allen",BUF,"24.2","253.9","2.1","0.0","0.0","0.0","7.4","45.6","0.4"
"31",4,"Jalen Hurts",PHI,"25.6","246.7","1.5","0.0","0.0","0.0","11.0","50.7","0.9"
"32",4,"Travis Etienne Jr.",JAC,"11.0","0.0","0.0","2.1","18.6","0.0","12.9","66.2","0.3"
"33",4,"DK Metcalf",SEA,"10.7","0.0","0.0","5.3","61.6","0.4","0.0","0.0","0.0"
"34",4,"Aaron Jones",GB,"12.9","0.0","0.0","3.5","23.2","0.3","12.5","65.9","0.1"
"35",4,"Jahmyr Gibbs",DET,"0","0","0","0","0","0","0","0","0"
"36",4,"Keenan Allen",LAC,"13.1","0.0","0.0","6.6","75.2","0.4","0.1","0.8","0.0"
"37",4,"Amari Cooper",CLE,"12.2","0.0","0.0","4.6","68.2","0.5","0.0","0.0","0.0"
"38",5,"Calvin Ridley",JAC,"0","0","0","0","0","0","0","0","0"
"39",5,"Breece Hall",NYJ,"15.1","0.0","0.0","2.7","31.1","0.1","11.4","66.1","0.6"
"40",5,"Deebo Samuel",SF,"10.8","0.0","0.0","4.3","48.6","0.2","3.2","17.8","0.2"
"41",5,"Lamar Jackson",BAL,"20.3","186.8","1.4","0.0","0.0","0.0","9.3","63.7","0.3"
"42",5,"Kenneth Walker III",SEA,"12.6","0.0","0.0","1.8","11.0","0.0","15.2","70.0","0.6"
"43",5,"Miles Sanders",CAR,"12.2","0.0","0.0","1.2","4.6","0.0","15.2","74.6","0.6"
"44",5,"T.J. Hockenson",MIN,"10.1","0.0","0.0","5.1","53.8","0.4","0.0","0.0","0.0"
"45",5,"DJ Moore",CHI,"9.9","0.0","0.0","3.7","52.2","0.4","0.6","3.1","0.0"
"46",5,"Joe Burrow",CIN,"21.7","266.3","2.1","0.0","0.0","0.0","4.5","15.2","0.3"
"47",5,"Alexander Mattison",MIN,"4.8","0.0","0.0","0.9","5.4","0.1","4.4","16.6","0.3"
"48",5,"Jerry Jeudy",DEN,"11.4","0.0","0.0","4.5","64.8","0.4","0.3","2.7","0.0"
"49",5,"Terry McLaurin",WAS,"11.2","0.0","0.0","4.5","70.1","0.3","0.4","1.7","0.0"
"50",5,"DeAndre Hopkins",TEN,"13.3","0.0","0.0","7.1","79.7","0.3","0.0","0.0","0.0"
"51",5,"J.K. Dobbins",BAL,"9.7","0.0","0.0","0.9","5.3","0.1","11.5","65.0","0.3"
"52",5,"Justin Fields",CHI,"20.5","149.5","1.1","0.0","0.0","0.0","10.7","76.2","0.5"
"53",5,"Cam Akers",LAR,"9.0","0.0","0.0","0.9","7.8","0.0","12.5","52.4","0.5"
"54",5,"Dameon Pierce",HOU,"11.6","0.0","0.0","2.3","12.7","0.1","16.9","72.2","0.3"
"55",5,"Christian Watson",GB,"10.3","0.0","0.0","2.9","43.6","0.5","0.5","5.7","0.1"
"56",5,"Drake London",ATL,"8.4","0.0","0.0","4.2","50.9","0.2","0.0","0.0","0.0"
"57",5,"Justin Herbert",LAC,"17.1","278.8","1.5","0.0","0.0","0.0","3.2","8.6","0.0"
"58",5,"Chris Godwin",TB,"11.4","0.0","0.0","6.9","68.2","0.2","0.2","0.3","0.0"
"59",6,"James Conner",ARI,"13.6","0.0","0.0","3.5","23.1","0.1","14.1","60.2","0.5"
"60",6,"Tyler Lockett",SEA,"12.2","0.0","0.0","5.3","64.6","0.6","0.0","0.0","0.0"
"61",6,"Brandon Aiyuk",SF,"11.1","0.0","0.0","4.6","59.7","0.5","0.1","1.4","0.0"
"62",6,"Mike Williams",LAC,"11.2","0.0","0.0","4.8","68.8","0.3","0.0","0.0","0.0"
"63",6,"George Kittle",SF,"11.4","0.0","0.0","4.0","51.0","0.7","0.0","0.0","0.0"
"64",6,"Christian Kirk",JAC,"11.8","0.0","0.0","4.9","65.2","0.5","0.3","0.6","0.0"
"65",6,"Diontae Johnson",PIT,"8.1","0.0","0.0","5.1","51.9","0.0","0.4","1.5","0.0"
"66",6,"Darren Waller",NYG,"7.9","0.0","0.0","3.1","43.1","0.3","0.0","0.0","0.0"
