"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"RB1","1","4","1.4","0.6","0"
"2",1,"Christian McCaffrey",CAR,"RB2","1","18","2.7","2.3","+3"
"3",1,"Austin Ekeler",LAC,"RB3","2","13","4.7","2.0","-1"
"4",1,"Dalvin Cook",MIN,"RB4","1","14","6.1","2.4","+3"
"5",1,"Derrick Henry",TEN,"RB5","1","23","6.2","3.9","-1"
"6",2,"Justin Jefferson",MIN,"WR1","1","13","6.6","2.9","0"
"7",2,"Cooper Kupp",LAR,"WR2","2","16","7.0","3.0","-4"
"8",2,"Najee Harris",PIT,"RB6","1","23","9.0","4.7","0"
"9",2,"Ja'Marr Chase",CIN,"WR3","4","19","9.7","3.4","0"
"10",2,"Joe Mixon",CIN,"RB7","3","23","9.9","4.2","0"
"11",3,"Travis Kelce",KC,"TE1","9","27","13.4","4.7","+3"
"12",3,"Stefon Diggs",BUF,"WR4","6","23","13.5","3.5","0"
"13",3,"D'Andre Swift",DET,"RB8","4","37","14.4","6.3","+2"
"14",3,"Davante Adams",LV,"WR5","8","27","14.4","3.2","-3"
"15",3,"CeeDee Lamb",DAL,"WR6","9","25","16.5","3.5","+2"
"16",3,"Aaron Jones",GB,"RB9","5","40","17.5","6.2","0"
"17",3,"Alvin Kamara",NO,"RB10","5","50","17.6","8.0","+2"
"18",3,"Saquon Barkley",NYG,"RB11","6","37","17.9","6.7","+4"
"19",3,"Nick Chubb",CLE,"RB12","8","41","20.3","6.3","-6"
"20",3,"Leonard Fournette",TB,"RB13","5","37","20.6","6.5","+4"
"21",3,"Deebo Samuel",SF,"WR7","12","41","21.6","5.3","-3"
"22",3,"Mark Andrews",BAL,"TE2","9","46","21.9","5.7","+3"
"23",4,"Mike Evans",TB,"WR8","15","38","23.5","4.7","+3"
"24",4,"Javonte Williams",DEN,"RB14","11","53","23.9","6.9","-4"
"25",4,"Tyreek Hill",MIA,"WR9","15","41","25.3","4.9","-4"
"26",4,"Keenan Allen",LAC,"WR10","19","43","28.6","5.6","+2"
"27",4,"A.J. Brown",PHI,"WR11","13","55","29.2","6.7","0"
"28",4,"Tee Higgins",CIN,"WR12","20","47","30.0","5.8","+2"
"29",4,"James Conner",ARI,"RB15","14","57","31.3","8.3","+2"
"30",4,"Ezekiel Elliott",DAL,"RB16","8","64","31.4","9.9","-1"
"31",4,"Michael Pittman Jr.",IND,"WR13","16","74","31.5","9.1","+5"
"32",4,"Josh Allen",BUF,"QB1","18","53","33.6","6.7","-9"
"33",4,"DJ Moore",CAR,"WR14","23","66","35.4","9.3","+11"
"34",4,"Kyle Pitts",ATL,"TE3","12","69","36.8","10.3","+1"
"35",5,"Breece Hall",NYJ,"RB17","14","65","39.0","10.6","+6"
"36",5,"Cam Akers",LAR,"RB18","17","71","39.2","10.1","-4"
"37",5,"David Montgomery",CHI,"RB19","18","76","40.0","10.8","-4"
"38",5,"Diontae Johnson",PIT,"WR15","26","78","41.0","11.2","+5"
"39",5,"Jaylen Waddle",MIA,"WR16","25","83","42.8","10.7","+1"
"40",5,"Travis Etienne Jr.",JAC,"RB20","19","81","43.6","12.2","+6"
"41",5,"Mike Williams",LAC,"WR17","25","85","44.2","11.3","+9"
"42",5,"Terry McLaurin",WAS,"WR18","25","77","44.3","9.3","-3"
"43",5,"Justin Herbert",LAC,"QB2","21","69","45.1","8.3","-6"
"44",5,"Courtland Sutton",DEN,"WR19","22","85","45.2","14.0","+11"
"45",5,"J.K. Dobbins",BAL,"RB21","26","88","48.1","10.7","+7"
"46",5,"Elijah Mitchell",SF,"RB22","26","80","48.6","9.4","+1"
"47",5,"Antonio Gibson",WAS,"RB23","24","82","49.4","13.8","-9"
"48",5,"Brandin Cooks",HOU,"WR20","31","74","49.5","10.6","+10"
"49",5,"George Kittle",SF,"TE4","31","77","51.5","9.7","-7"
