RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASS YDS,PASS TDS,REC,REC YDS,REC TDS,ATT,RUSH YDS,RUSH TDS
1,1,Jonathan Taylor,IND,353.1,0,0,40,360,2,332,1811,18
2,1,Christian McCaffrey,CAR,109,0,0,37,343,1,99,442,1
3,1,Austin Ekeler,LAC,308.8,0,0,70,647,8,206,911,12
4,1,Justin Jefferson,MIN,276.4,0,0,108,1616,10,6,14,0
5,1,Dalvin Cook,MIN,189.3,0,0,34,224,0,249,1159,6
6,1,Derrick Henry,TEN,184.3,0,0,18,154,0,219,937,10
7,1,Cooper Kupp,LAR,367,0,0,145,1947,16,4,18,0
8,2,Ja'Marr Chase,CIN,264.1,0,0,81,1455,13,7,21,0
9,2,Najee Harris,PIT,263.7,0,0,74,467,3,307,1200,7
10,2,Joe Mixon,CIN,266.9,0,0,42,314,3,292,1205,13
11,2,D'Andre Swift,DET,177.9,0,0,62,452,2,151,617,5
12,2,Stefon Diggs,BUF,234,0,0,103,1225,10,0,0,0
13,2,Travis Kelce,KC,216.8,0,0,92,1125,9,2,3,1
14,2,Alvin Kamara,NO,211.2,0,0,47,439,5,240,898,4
15,2,Davante Adams,LV,282.8,0,0,123,1553,11,0,0,0
16,3,Saquon Barkley,NYG,128.1,0,0,41,263,2,162,593,2
17,3,CeeDee Lamb,DAL,193.3,0,0,79,1102,6,9,76,0
18,3,Aaron Jones,GB,203,0,0,52,391,6,171,799,4
19,3,Leonard Fournette,TB,221.1,0,0,69,454,2,180,812,8
20,3,Deebo Samuel,SF,300.46,0,0,77,1405,6,59,365,8
21,3,Nick Chubb,CLE,205.3,0,0,20,174,1,228,1259,8
22,3,Mark Andrews,BAL,247.6,0,0,107,1361,9,1,0,0
23,3,Javonte Williams,DEN,183.4,0,0,43,316,3,203,903,4
24,3,Mike Evans,TB,225.5,0,0,74,1035,14,1,10,0
25,3,Tyreek Hill,MIA,241,0,0,111,1239,9,9,96,0
26,4,A.J. Brown,PHI,149.4,0,0,63,869,5,2,10,0
27,4,Tee Higgins,CIN,182.1,0,0,74,1091,6,0,0,0
28,4,James Conner,ARI,239.2,0,0,37,375,3,202,752,15
29,4,Michael Pittman Jr.,IND,194.6,0,0,88,1082,6,5,44,0
30,4,Keenan Allen,LAC,204.8,0,0,106,1138,6,0,0,0
31,4,Ezekiel Elliott,DAL,228.56,0,0,47,287,2,237,1002,10
32,4,Kyle Pitts,ATL,142.6,0,0,68,1026,1,0,0,0
33,4,Josh Allen,BUF,417.58,4407,36,0,0,0,122,763,6
34,4,DJ Moore,CAR,191,0,0,93,1157,4,8,48,0
